geometry,u,v,key,oneway,length,n_trafficLights,n_giveWaySignal,n_stopSignal,n_pedestrianCrossings,n_cyclingPath,n_cycleParking,n_parkingLeft,n_parkingRight,n_roundaboutNearBy,n_streetLighting_segments,p_pTStop,mean_zonalSpeed,roadType_tertiary,roadType_residential,roadType_primary,roadType_unavailable,roadType_living_street,roadType_pedestrian,roadType_secondary,roadType_primary_link,roadType_service,roadType_secondary_link,roadType_tertiary_link,surfaceType_asphalt,surfaceType_unavailable,surfaceType_sett,surfaceType_paving_stones,surfaceType_paving_stones:20,surfaceType_cobblestone,surfaceType_paving_stones:30,surfaceType_unhewn_cobblestone,surfaceType_paved,numberOfLanes,maxSpeed,accidents_noSeverity,accidents_mild,accidents_severe,accidents_deceased,total_accidents_pedestrian,total_accidents_motorcycle,total_accidents_bicycle,total_accidents,total_accidents_VRU,travelDemand_micro,travelDemand_privateVehicle,n_cornering_right,mean_avg_magnitude_cornering_right,mean_max_magnitude_cornering_right,n_cornering_left,mean_avg_magnitude_cornering_left,mean_max_magnitude_cornering_left,n_brake,mean_avg_magnitude_brake,mean_max_magnitude_brake,n_speedup,mean_avg_magnitude_speedup,mean_max_magnitude_speedup
"LINESTRING (-3.6890546 40.41663609999999, -3.6892791834400005 40.416622488399994, -3.690177290966041 40.416568055711636, -3.69024085763 40.41656420304999, -3.6904653000000005 40.4165506)",4,7,0,True,157.0840314352741,0,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,50.0,0,0,0,0,0,0,0,0,0,200.6969017301792,27361,1006,492,1040,150,135,967,765,1022,3275,2,610,132
"LINESTRING (-3.6904653000000005 40.4165506, -3.69068975025 40.41653630408, -3.6912833497500004 40.416498495919996, -3.6915078000000006 40.41648419999999)",7,4826,0,True,116.09718517149668,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,30.0,1,1,0,0,0,1,0,2,1,200.6969017301792,44367,1068,1239,2603,761,1616,406,1244,1060,4426,3,338,699
"LINESTRING (-3.6904741 40.416041899999996, -3.690477142413194 40.41626684229162, -3.690477968832949 40.41632794403607, -3.6904803 40.4165003, -3.6904653000000005 40.4165506)",4825,7,0,True,56.793601441287976,0,0,0,1,0,0,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,30.0,0,0,0,0,0,0,0,0,0,41.50908757822392,7433,1342,1207,2267,406,42,3380,1430,1616,3766,3,663,235
"LINESTRING (-3.6904674000000006 40.417334, -3.69046250436593 40.417109076212164, -3.6904552019396895 40.41677357536663, -3.6904514 40.4165989, -3.6904653000000005 40.4165506)",4834,7,0,True,87.30351075685289,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,30.0,0,0,0,0,0,0,0,0,0,90.86267869648012,18864,1234,2256,771,1082,1067,2018,551,80,3730,4,135,690
"LINESTRING (-3.6889447 40.41801329999999, -3.6891695095199992 40.41802272455999, -3.6900684885636905 40.41806041194056, -3.6902514436200007 40.41806808185999, -3.6904761000000006 40.418077499999995)",6,4839,0,True,170.34963997223315,0,0,0,2,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0,50.0,0,0,0,0,0,0,0,0,0,67.6934185591706,27277,1208,994,2806,567,1410,2075,376,1441,1119,2,512,30
"LINESTRING (-3.6904761000000006 40.418077499999995, -3.690473468250001 40.417852591249996, -3.6904700317500003 40.41755890874999, -3.6904674000000006 40.417334)",4839,4834,0,True,82.64192452149231,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,50.0,0,1,0,0,1,0,0,1,1,90.86267869648012,17906,192,898,339,1763,2411,2572,667,3374,1659,2,12,86
"LINESTRING (-3.6904761000000006 40.418077499999995, -3.6905778999999996 40.41805999999999, -3.690699467362964 40.41806483807326, -3.691565399999999 40.4180993, -3.691564182131625 40.41806614268775, -3.691544843324769 40.4175396302414, -3.6915366 40.4173152)",4839,4835,0,True,208.55280937778488,0,0,0,4,0,1,1,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,50.0,4,0,0,0,0,0,0,4,0,156.32051410089414,32227,1073,885,664,1008,1311,1201,544,790,1254,2,537,647
"LINESTRING (-3.6904983 40.4188796, -3.69049207734 40.418654771369994, -3.6904823226599994 40.41830232862999, -3.6904761000000006 40.418077499999995)",4796,4839,0,True,89.17912334071977,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,50.0,2,1,0,0,0,0,0,3,0,90.86267869648012,3310,180,1570,2905,914,2472,303,1422,3259,2555,4,358,869
"LINESTRING (-3.6915078000000006 40.41648419999999, -3.69173227968 40.416469765079995, -3.6917545203199995 40.41646833491999, -3.6919790000000003 40.4164539)",4826,4831,0,True,52.4768571807729,0,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,30.0,0,0,0,0,0,0,0,0,0,200.6969017301792,21328,1154,617,932,847,1545,2435,120,3027,99,5,598,504
"LINESTRING (-3.6915078000000006 40.41648419999999, -3.6915255 40.4163509, -3.691522773569656 40.416260496401456, -3.6915164799909457 40.41605181248457, -3.6915097 40.41582699999999)",4826,4824,0,True,73.1970560816019,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,30.0,0,1,0,0,0,0,0,1,0,127.15055361812482,14831,1215,892,2905,549,1419,2133,738,2414,3166,3,403,277
